ID(配方 ID/武器表用 RecipeID 引用；不可重複),Name(配方名稱/只給人看，程式不讀),Mode(發射模式/一列只能一種；留空＝Normal/空=Normal),FireInterval(發射間隔（秒）/越小射越快；Laser/Aura 無效（按住就在）/空=0.3),Speed(飛行速度/每秒世界單位；Orbital＝繞圈的切線速度/空=15),Radius(碰撞半徑/越大越容易打中；Laser 改用武器表 BeamWidth/空=0.1),LifeTime(存活秒數/-1＝不因時間消失；Orbital＝整組到期時間/空=3),RotationSpeed(自轉速度（度/秒）/純視覺/空=0),PierceCount(穿透數/0＝碰到就停；-1＝無限穿透/空=0),BlockedByEnvironment(被地形擋/0＝穿過牆（需 PierceCount≠0）/空=1),SpreadCount(分裂／散射數/一發幾顆／幾道；1＝不分/空=1),SpreadAngle(扇形總角度（度）/N 顆在此角度內平均展開/空=0),SplitTiming(分裂時機/留空＝OnSpawn（發射時就分）；OnHit＝打中才分；OnDeath＝飛到底才分/空=OnSpawn),SubRecipeID(分裂子彈配方 ID/留空＝繼承自身；SkyStrike＝落點接連鎖的配方),BounceTarget(反彈對象/None／Environment（牆）／Enemy（怪）/空=None),MaxBounces(最大反彈次數/空=0),HomingTurnSpeed(追蹤轉向速度（度/秒）/0＝不追蹤；90 慢 180 中 360 快/空=0),Range(射程/Laser 光束長度（-1＝無限）／Chain 首段射程／GroundCast 施放距離),AreaRadius(範圍半徑/Parabolic 落地爆炸／SkyStrike 落雷 AOE／Melee 扇形半徑),GroundEffectID(地面特效 ID/命中／落地時放一個 GroundEffect；Aura／GroundCast 則是本體必填/空=0),GroundEffectHitTarget(地面特效觸發對象/Enemy／Environment／Any／Ground（Parabolic 落地）/空=Enemy),TrailStep(軌跡點間距/>0 時每飛這麼遠沿路種一個武器表 TrailEffectID 的特效（地刺）/空=0),SubWeaponOnHit(命中迸發子武器 ID/武器表 ID；打中時在命中點射出那把武器/空=0),SubWeaponHitTarget(迸發觸發對象/Enemy／Environment／All/空=Enemy),OrbitalRadius(環繞半徑/空=2),OrbitalCount(環繞數量/空=3),FlightTime(飛行秒數/不論遠近都飛這麼久才落地（原本借用 Speed 欄）/空=1),ArcHeight(弧頂高度/視覺假高度（世界單位）/空=2),LaunchSource(發射來源/Player／Offscreen（從畫面外飛進來）/空=Player),LandingScatterRadius(落點隨機半徑/空=0),DotInterval(傷害節拍（秒）/光束每 N 秒對掃到的目標各結算一次/空=0.5),ChainCount(跳躍次數/總命中＝1＋跳數（原本借用 MaxBounces 欄）/空=0),ChainRadius(每跳搜尋半徑/空=4),AimConeAngle(首段鎖定錐半角（度）/0＝要正好瞄到；180＝鎖最近任意方向（原本借用 HomingTurnSpeed 欄）/空=0),SnapRadius(落點吸附半徑/落點附近這個半徑內有怪就吸過去（原本借用 HomingTurnSpeed 欄）/空=0),SegmentedColumn(分段全高雷柱/1＝從畫面頂鋪到落點的分段雷柱（九霄雷獄）/空=0),SummonIds(可召喚怪物 ID/用 | 分隔，每次隨機抽一個),SummonCount(每次召喚幾隻/空=1),SummonMaxAlive(同時存在上限/空=4),SummonRadius(生成半徑/空=2),MeleeAngle(扇形總角度（度）/空=100),DashDistance(突進距離/空=4),DashWidth(掃擊寬度/空=1),ChargeMode(集氣模式/1＝按住 3 秒放開才施放（傷害×3、視覺×2）；Laser/Aura 不可/空=0),ChargeTimeReduction(集氣時間縮減/30%＝縮短 30%；-20%＝延長 20%/空=0%),BurstCount(連擊發數/扣一次扳機連射幾發（一份魔力、只扣一次；每發各自分裂）；1＝不連擊；Laser/Aura/Orbital 不可（連擊珠改這欄）/空=1),BurstInterval(連擊間隔（秒）/連擊每發之間隔多久；FireInterval 從最後一發算起/空=0.1),ParallelCount(平行道數/同方向並排幾道（全從玩家出生、飛出去 0.15 秒散開拉直）；1＝不平行；每道各自分裂／反彈／追蹤（平行珠改這欄）/空=1),ParallelSpacing(平行間距/相鄰兩道的距離（世界單位）/空=0.45),ParallelMaxWidth(平行總寬上限/整排最寬幾單位；道數多到超過就壓縮間距（畫面高 10 單位）/空=3)
9,火焰環繞彈,Orbital,0.3,4,0.1,5,,-1,0,,,,,,,,,,,,,,,1.5,9,,,,,,,,,,,,,,,,,,,,,,,,
10,火焰直線彈,,0.5,20,0.1,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8分裂追蹤彈,,0.2,20,0.1,3,,8,,3,60,OnSpawn,,,,180,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,玩家丟出火焰拋物線彈,Parabolic,0.5,,,,,,,,,,,,,,,1.5,1,Ground,,,,,,1,2.5,,3,,,,,,,,,,,,,,,,,,,,
13,螢幕外丟出火焰拋物線彈,Parabolic,0.5,,,,,,,10,60,,,,,,,1.5,,,,,,,,1,2.5,Offscreen,3,,,,,,,,,,,,,,,,,,,,
14,單一雷射追蹤光束,Laser,,,,,,-1,,,,,,,,180,18,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
15,單一雷射反彈光束,Laser,,,,,,-1,,,,,,Environment,3,,40,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
16,三分裂雷射追蹤光束,Laser,,,,,,-1,,3,60,,,,,180,18,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
17,三分裂雷射反彈光束,Laser,,,,,,-1,,3,60,,,Environment,3,,40,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
18,十分裂雷射追蹤光束,Laser,,,,,,-1,,10,60,,,,,180,18,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
19,地刺,,1,20,0.3,10,,-1,,3,50,OnSpawn,,Environment,3,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,火焰噴射,Laser,,,,,,-1,,3,60,,,,,180,5,,,,1,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
21,佛光,Aura,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,連鎖閃電,Chain,0.5,,,,,,,3,60,,,,,,15,,,,,,,,,,,,,,4,4,180,,,,,,,,,,,,,,,,
24,蜂巢彈,,0.6,12,0.2,3,50,,,,,,,,,,,,,,,12,All,,,,,,,,,,,,,,,,,,,,,,,,,,
25,蜜蜂彈,,0.2,10,0.15,3,,,,3,60,OnSpawn,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,召喚-紅嫁衣家人,Summon,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|3|4|5|6|7|8|9|10|11|12,2,2,2,,,,,,,,,,
27,御靈水晶-召喚雜魚,Summon,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1.5,,,,,,,,,,
34,血月鬼爪,Melee,0.55,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,
35,虛空吞口,GroundCast,1.2,,,,,,,,,,,,,,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,九霄雷獄,SkyStrike,0.9,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
38,幽影突,Dash,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.2,,,,,,,
40,冰封法陣,GroundCast,1.3,,,,,,,,,,,,,,9,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,死字咒,GroundCast,2.5,,,,,,,,,,,,,,10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,鏡界折光,Laser,,,,,,-1,,,,,,Environment,3,,-1,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
43,三連擊直線彈,,0.6,20,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.08,,,
44,單發直飛無能力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,三道平行直線彈,,0.4,20,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
